subject,room_condition,target_distance,block,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n,log_bias_sd,log_bias_sem,log_bias_var,log_bias_n,log_bias_m,log_bias_unsigned_sd,log_bias_unsigned_sem,log_bias_unsigned_var,log_bias_unsigned_n,log_bias_unsigned_m
2,Small VE,2,1,0.24664414311581237,0.14240006242195885,0.06083333333333333,3,0.21666666666666667,0.12332207155790617,0.07120003121097943,0.015208333333333329,3,-0.8916666666666666,0.12332207155790617,0.07120003121097943,0.015208333333333329,3,0.8916666666666666,0.24664414311581234,0.14240006242195885,0.060833333333333316,3,0.5130266603291604,0.2961960804424955,0.26319635420849175,3,-1.1683833261066354,0.5130266603291604,0.2961960804424955,0.26319635420849175,3,1.1683833261066354
4,Small VE,2,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,1.3333333333333333,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,-0.3333333333333333,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.3333333333333333,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,-0.20068666377598746,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,0.20068666377598746
6,Small VE,2,1,0,0,0,3,0.5,0,0,0,3,-0.75,0,0,0,3,0.75,0,0,0,3,0,0,0,3,-0.6020599913279624,0,0,0,3,0.6020599913279624
8,Small VE,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.3333333333333333,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.3333333333333333,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.3333333333333333,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.10166633581773771,0.05869708635189376,0.010336043838605017,3,-0.18363582296019368,0.10166633581773771,0.05869708635189376,0.010336043838605017,3,0.18363582296019368
10,Small VE,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.1666666666666667,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.4166666666666667,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.4166666666666667,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.10166633581773771,0.05869708635189376,0.010336043838605017,3,-0.24233290931208745,0.10166633581773771,0.05869708635189376,0.010336043838605017,3,0.24233290931208745
13,Small VE,2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3,0,0,0,3,-0.3010299956639812,0,0,0,3,0.3010299956639812
15,Small VE,2,1,0.15275252316519466,0.08819171036881969,0.02333333333333333,3,0.3666666666666667,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,-0.8166666666666667,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,0.8166666666666667,0.1527525231651947,0.0881917103688197,0.023333333333333338,3,0.20751179059376343,0.11980698815933058,0.04306114323542993,3,-0.7670099985546603,0.20751179059376343,0.11980698815933058,0.04306114323542993,3,0.7670099985546603
17,Small VE,2,1,0,0,0,3,0.25,0,0,0,3,-0.875,0,0,0,3,0.875,0,0,0,3,0,0,0,3,-0.9030899869919435,0,0,0,3,0.9030899869919435
19,Small VE,2,1,0.11547005383792516,0.06666666666666668,0.013333333333333334,3,0.26666666666666666,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,-0.8666666666666667,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,0.8666666666666667,0.11547005383792512,0.06666666666666665,0.013333333333333327,3,0.17379974903075146,0.10034333188799376,0.03020635276315219,3,-0.8996566681120063,0.17379974903075146,0.10034333188799376,0.03020635276315219,3,0.8996566681120063
21,Small VE,2,1,0.5,0.2886751345948129,0.25,3,1.5,0.25,0.14433756729740646,0.0625,3,-0.25,0.25,0.14433756729740646,0.0625,3,0.25,0.5,0.2886751345948129,0.25,3,0.15123760429125518,0.08731707154915029,0.02287281295175829,3,-0.1419895774240937,0.15123760429125518,0.08731707154915029,0.02287281295175829,3,0.1419895774240937
23,Small VE,2,1,0,0,0,3,0.5,0,0,0,3,-0.75,0,0,0,3,0.75,0,0,0,3,0,0,0,3,-0.6020599913279624,0,0,0,3,0.6020599913279624
25,Small VE,2,1,0.47696960070847283,0.2753785273643051,0.2275,3,0.45,0.23848480035423644,0.13768926368215256,0.05687500000000001,3,-0.775,0.23848480035423644,0.13768926368215256,0.05687500000000001,3,0.775,0.4769696007084729,0.2753785273643051,0.22750000000000004,3,0.44403347626637807,0.2563628470515987,0.19716572804520413,3,-0.8086562440907603,0.44403347626637807,0.2563628470515987,0.19716572804520413,3,0.8086562440907603
27,Small VE,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.3333333333333333,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.3333333333333333,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.3333333333333333,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.10166633581773771,0.05869708635189376,0.010336043838605017,3,-0.18363582296019368,0.10166633581773771,0.05869708635189376,0.010336043838605017,3,0.18363582296019368
29,Small VE,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.6666666666666666,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.6666666666666666,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.6666666666666666,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,-0.5017166594399687,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,0.5017166594399687
31,Small VE,2,1,0.11547005383792514,0.06666666666666667,0.01333333333333333,3,0.16666666666666666,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,-0.9166666666666666,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,0.9166666666666666,0.11547005383792512,0.06666666666666665,0.013333333333333327,3,0.2754660848484891,0.1590404182398875,0.07588156390175502,3,-1.1419895774240938,0.2754660848484891,0.1590404182398875,0.07588156390175502,3,1.1419895774240938
33,Small VE,2,1,1.1547005383792515,0.6666666666666666,1.3333333333333333,3,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,-0.16666666666666666,0,0,0,3,0.5,0,0,0,3,0.2754660848484891,0.1590404182398875,0.075881563901755,3,-0.1419895774240937,0.07213341321301374,0.04164624553609999,0.005203229301759384,3,0.25938375012788123
35,Small VE,2,1,0.13228756555322954,0.07637626158259735,0.0175,3,0.35,0.06614378277661476,0.038188130791298666,0.0043749999999999995,3,-0.825,0.06614378277661476,0.038188130791298666,0.0043749999999999995,3,0.825,0.1322875655532295,0.07637626158259733,0.017499999999999998,3,0.1560478536226691,0.09009427029551133,0.024350932620241964,3,-0.7763529064214082,0.1560478536226691,0.09009427029551133,0.024350932620241964,3,0.7763529064214082
37,Small VE,2,1,1,0.5773502691896258,1,3,2,0.5,0.2886751345948129,0.25,3,0,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.3333333333333333,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.2412715902292603,0.13929821756667254,0.0582119802517561,3,-0.04164624553609999,0.15123760429125518,0.08731707154915029,0.02287281295175829,3,0.1590404182398875
39,Small VE,2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3,0,0,0,3,-0.3010299956639812,0,0,0,3,0.3010299956639812
